ID,isMale,isMarried,AgeGroup,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HasHistoryOfOverduePayments,Class
31,1,0,2,4,2840,110,0,0,4,2840,90,0,0,0,1
32,0,1,3,3,2180,2180,3,6,0,330,130,0,0,0,1
33,1,1,3,4,950,950,2,6,0,420,150,0,0,0,1
34,1,0,2,4,920,20,5,6,0,920,0,0,0,0,1
35,1,1,3,3,5690,250,0,0,0,5690,250,0,0,0,1
36,0,0,1,3,570,1460,1,4,0,460,50,0,0,0,1
37,1,0,2,4,20,20,1,6,0,0,20,1,1,1,0
38,1,0,2,4,550,300,2,6,0,20,280,1,2,1,1
39,1,0,2,4,19200,5770,0,0,1,6680,310,0,0,0,1
40,0,0,2,4,2060,140,0,0,6,2060,90,0,0,0,1
41,1,0,1,3,180,90,0,1,0,60,50,0,0,0,1
42,0,1,2,3,2130,120,0,0,0,1820,90,0,0,0,1
43,0,0,2,4,890,150,0,0,0,580,90,1,2,1,1
44,1,0,2,4,0,0,0,6,0,0,0,0,0,0,0
45,0,0,1,4,510,510,1,1,3,430,90,1,2,1,0
46,0,0,3,1,140,40,0,6,0,140,30,0,0,0,0
47,1,0,2,3,980,750,1,6,0,680,660,0,0,0,1
48,1,0,1,4,630,40,0,0,6,530,40,0,0,0,1
49,1,0,3,2,1200,90,0,0,0,1130,0,1,9,1,0
50,0,1,3,3,410,340,1,6,0,410,240,0,0,0,1
51,0,0,2,4,1380,60,0,0,0,1260,40,1,3,1,1
52,0,0,2,4,1410,150,0,3,0,1410,50,1,2,1,1
53,0,1,3,4,110,110,2,6,0,60,110,0,0,0,1
54,0,1,2,2,500,270,1,6,0,500,260,0,0,0,1
55,0,1,2,3,5370,250,0,0,4,5370,250,0,0,0,1
56,0,0,2,4,50,40,1,6,0,50,0,1,11,1,1
57,0,1,2,3,12340,920,0,0,6,12220,520,0,0,0,1
58,0,1,2,2,720,60,0,6,0,700,50,0,0,0,0
59,1,1,2,3,2200,120,0,1,3,2160,120,0,0,0,1
60,1,0,2,4,860,80,0,0,0,760,0,1,12,1,0
61,0,1,3,3,890,30,0,4,0,880,30,0,0,0,0
62,0,1,3,3,70,70,1,6,0,0,0,0,0,0,1
63,1,1,3,4,4660,250,0,3,0,4660,0,1,4,1,0
64,1,1,3,3,130,70,1,1,0,60,70,1,6,1,0
65,0,0,2,4,130,130,3,6,0,10,10,1,2,1,1
66,0,0,2,2,310,620,4,6,0,0,0,2,3,1,1
67,1,0,1,1,570,40,0,0,4,570,0,1,2,1,1
68,1,0,2,4,20,10,1,6,0,20,0,0,0,0,1
69,1,0,2,3,1940,150,0,6,0,1780,80,1,12,1,0
70,0,1,2,3,280,280,1,6,0,280,180,1,2,1,1
71,0,0,2,4,100,100,2,6,0,0,0,1,1,1,1
72,1,0,2,4,2450,2460,3,5,0,90,170,0,0,0,1
73,1,0,1,3,570,90,0,0,5,450,90,1,2,1,1
74,1,0,2,2,1310,50,0,2,1,1310,50,0,0,0,1
75,0,1,3,4,10,10,0,6,0,10,10,0,0,0,1
76,0,0,1,3,930,90,0,0,5,870,50,0,0,0,0
77,0,0,3,3,0,0,0,6,0,0,0,1,1,1,0
78,0,0,2,4,5500,4490,2,5,0,710,150,0,0,0,1
79,1,0,2,2,860,50,0,0,0,800,50,0,0,0,0
80,0,1,3,3,4250,330,0,0,0,4020,330,1,2,1,1
81,0,0,3,2,1490,50,0,0,2,1490,50,0,0,0,1
82,1,0,2,3,3970,2440,1,0,1,3970,130,0,0,0,1
83,0,1,3,4,40,40,1,6,0,10,40,1,2,1,0
84,0,0,2,3,260,70,1,6,0,120,40,0,0,0,1
85,0,1,2,4,3600,1220,2,4,1,2480,1220,0,0,0,1
86,1,0,3,2,380,60,0,0,0,260,0,2,6,1,1
87,1,1,3,4,4570,190,0,0,0,4220,190,1,12,1,0
88,0,0,2,4,230,120,1,6,0,230,0,0,0,0,1
89,0,0,2,4,170,230,1,6,0,0,230,0,0,0,1
90,0,1,2,3,50,240,2,6,0,30,50,0,0,0,1
91,0,0,1,3,1440,60,0,0,0,1390,60,0,0,0,1
92,1,0,2,3,2680,110,0,0,3,2560,110,0,0,0,1
93,1,1,3,4,810,2110,4,6,0,120,250,0,0,0,1
94,1,0,2,4,2740,310,0,0,0,2630,120,0,0,0,1
95,0,1,1,2,570,40,0,2,0,570,40,0,0,0,1
96,1,1,2,3,600,50,0,1,5,550,50,0,0,0,0
97,1,0,2,4,310,310,2,6,0,20,310,0,0,0,1
98,0,0,2,4,1040,1010,2,6,0,0,10,0,0,0,1
99,1,1,4,4,14870,1700,0,0,6,12890,490,1,4,1,1
100,0,0,1,2,1360,50,0,0,2,1360,50,0,0,0,0
101,0,0,2,3,1840,150,0,0,6,1730,0,1,10,1,1
102,0,0,1,3,810,810,1,5,0,170,0,0,0,0,1
103,0,1,2,3,190,100,1,6,0,190,90,0,0,0,1
104,1,0,3,4,160,160,4,6,0,20,70,0,0,0,1
105,1,0,2,3,5450,4090,2,0,4,5230,330,0,0,0,1
106,1,1,2,3,0,0,0,6,0,0,0,1,1,1,1
107,0,1,2,4,3310,480,0,0,0,3230,280,1,2,1,1
108,1,1,3,2,530,60,0,0,0,400,60,1,2,1,1
109,1,1,3,3,4650,450,0,0,0,4140,200,1,13,1,1
110,0,0,1,4,1840,160,0,0,0,1590,60,0,0,0,1
111,1,0,3,3,620,40,0,0,0,580,40,0,0,0,1
112,1,0,1,4,650,90,0,0,0,560,0,2,7,1,0
113,1,0,2,4,170,170,2,6,0,10,10,0,0,0,1
114,1,0,2,3,560,60,0,2,0,430,60,1,2,1,0
115,1,1,2,3,600,450,2,6,0,600,300,0,0,0,1
116,0,0,2,3,1620,90,0,2,0,1530,60,0,0,0,1
117,1,0,2,2,1560,120,0,0,6,1400,30,1,13,1,0
118,1,1,3,4,0,0,0,6,0,0,0,1,1,1,0
119,0,1,3,4,0,0,0,6,0,0,0,1,1,1,1
120,0,1,2,3,9500,400,0,0,4,9310,400,1,2,1,0
121,1,0,2,4,600,40,0,0,5,580,40,0,0,0,1
122,1,0,1,3,0,0,0,6,0,0,0,1,1,1,1
123,1,0,3,2,3360,120,0,0,0,3360,110,0,0,0,1
124,1,1,2,4,5000,140,0,0,1,5000,140,0,0,0,0
125,1,1,3,3,220,50,0,6,0,100,30,0,0,0,0
126,1,1,3,2,1880,80,0,0,3,1850,80,1,7,1,1
127,0,0,1,4,420,420,2,5,0,120,170,1,1,1,1
128,1,0,3,4,100,100,3,6,0,0,80,1,1,1,1
129,1,1,2,3,7740,350,0,0,0,7740,300,0,0,0,1
130,1,1,3,2,7010,260,0,0,0,6940,250,0,0,0,1
131,0,0,1,3,870,60,1,1,4,870,60,0,0,0,1
132,1,1,2,3,430,50,0,6,0,330,50,1,6,1,1
133,1,0,2,4,920,150,0,5,0,530,80,0,0,0,1
134,0,1,2,3,280,60,0,6,0,220,50,0,0,0,1
135,0,1,3,2,180,180,1,6,0,20,10,0,0,0,0
136,1,0,1,4,1550,70,0,0,3,1550,70,0,0,0,1
137,1,0,3,4,0,0,0,6,0,0,0,1,1,1,0
138,1,0,2,3,60,110,4,6,0,60,0,0,0,0,1
139,1,0,1,3,630,310,0,0,0,310,30,1,7,1,1
140,1,0,2,3,480,480,1,6,0,370,310,0,0,0,1
141,1,0,2,4,480,480,3,4,0,40,480,0,0,0,1
142,1,0,2,4,320,60,0,4,0,150,30,1,3,1,1
143,0,0,2,3,640,50,0,6,0,590,50,0,0,0,0
144,1,0,2,4,6020,1690,0,0,2,6020,240,1,3,1,1
145,0,1,1,3,370,60,0,6,0,280,50,1,8,1,1
146,0,1,4,4,650,690,3,6,0,0,0,1,1,1,1
147,1,1,2,3,2650,150,0,0,0,2650,110,1,2,1,1
148,1,0,2,4,1700,920,0,0,0,1300,920,0,0,0,1
149,1,0,3,4,90,90,1,6,0,10,90,1,1,1,1
150,0,1,3,3,6370,3050,0,0,0,6370,250,0,0,0,1
151,0,0,2,2,430,50,0,0,0,280,50,0,0,0,1
152,1,1,2,4,1490,360,0,1,0,730,150,0,0,0,1
153,0,0,2,4,3220,150,0,0,0,3220,120,0,0,0,1
154,0,0,2,2,5990,230,0,0,4,5990,220,0,0,0,1
155,1,1,3,2,4710,360,0,0,0,3540,320,1,24,1,0
156,1,1,3,2,430,50,0,0,0,390,0,1,5,1,1
157,1,0,3,4,860,110,0,0,6,740,110,1,10,1,1
158,1,0,2,3,30,30,2,6,0,10,10,2,4,1,1
159,1,1,3,2,40,20,1,6,0,40,10,0,0,0,1
160,0,1,2,4,4890,550,0,0,0,4310,550,1,2,1,1
161,0,1,3,3,850,90,0,0,0,650,90,0,0,0,1
162,0,0,2,4,3200,170,0,0,3,3100,170,0,0,0,1
163,1,0,3,4,470,470,3,6,0,190,470,0,0,0,1
164,1,1,2,3,3130,1530,1,1,2,3130,100,1,4,1,1
165,0,1,2,3,2700,310,0,0,5,2200,110,1,2,1,1
166,0,0,1,3,900,50,0,0,0,860,50,0,0,0,1
167,1,0,2,3,1150,150,0,6,0,1150,150,0,0,0,1
168,0,0,2,4,130,130,2,6,0,20,100,0,0,0,1
169,0,0,1,3,470,460,3,4,0,260,460,0,0,0,1
170,0,0,1,4,0,0,6,6,0,0,0,1,1,1,0
171,1,0,2,4,0,0,0,6,0,0,0,1,1,1,1
172,1,1,3,2,2220,170,0,0,0,1970,90,1,12,1,0
173,1,0,2,4,190,110,3,6,0,190,20,0,0,0,1
174,1,0,2,3,1490,60,0,0,3,1490,0,2,5,1,1
175,0,0,1,3,490,50,0,0,1,490,40,0,0,0,1
176,0,1,2,3,2500,180,0,2,3,2380,180,1,2,1,1
177,1,0,2,4,810,2010,2,6,0,370,460,1,2,1,1
178,0,0,2,2,1510,380,0,2,0,1510,380,0,0,0,1
179,0,1,3,4,3750,2140,1,2,0,1720,2140,0,0,0,1
180,0,1,1,3,1770,90,0,0,3,1770,80,0,0,0,0
181,1,0,2,3,400,60,1,2,0,320,40,0,0,0,1
182,0,1,2,3,500,50,0,6,0,440,0,2,5,1,0
183,0,0,2,4,2090,2090,4,6,0,80,1740,1,1,1,1
184,0,0,3,2,6200,250,0,0,6,6090,250,1,12,1,0
185,0,1,2,3,450,160,1,6,0,0,160,1,1,1,1
186,0,0,2,3,660,30,0,0,6,660,0,1,19,1,1
187,1,0,2,4,2010,310,0,3,0,1830,310,0,0,0,1
188,0,0,2,4,700,60,0,0,0,600,40,2,4,1,0
189,0,0,2,4,530,530,1,6,0,350,10,0,0,0,1
190,0,0,1,4,670,1160,1,6,0,450,1160,1,2,1,1
191,1,1,2,3,1460,610,3,3,1,1460,60,0,0,0,1
192,0,0,1,4,1220,60,0,0,0,1100,60,1,11,1,0
193,0,1,2,3,50,50,1,6,0,0,0,0,0,0,1
194,0,0,1,4,590,610,1,0,5,570,50,0,0,0,1
195,0,1,2,4,70,480,2,6,0,10,0,0,0,0,1
196,0,0,1,2,910,50,0,2,4,890,30,1,5,1,0
197,0,1,2,4,20,0,0,6,0,20,0,0,0,0,1
198,1,0,2,4,840,760,0,6,0,830,760,2,4,1,1
199,0,0,2,4,550,410,2,6,0,410,310,0,0,0,1
200,1,0,2,3,3730,150,0,0,6,3280,150,0,0,0,1
201,0,1,3,3,7150,280,0,0,0,6910,280,0,0,0,1
202,1,1,3,2,620,680,1,1,5,10,680,0,0,0,1
203,1,1,3,4,40,70,2,6,0,10,40,0,0,0,1
204,0,1,3,3,110,110,2,6,0,90,50,0,0,0,0
205,0,0,1,3,2490,100,0,0,3,2490,100,0,0,0,0
206,0,1,3,4,270,130,1,6,0,270,130,0,0,0,1
207,1,0,1,4,3410,2610,1,2,0,3220,150,0,0,0,1
208,0,1,2,4,40,290,4,6,0,0,0,1,1,1,0
209,0,1,3,2,1190,50,0,0,5,1170,50,0,0,0,1
210,1,0,2,3,870,90,0,0,2,870,90,1,2,1,1
211,1,0,2,3,14660,400,0,0,1,9060,400,1,8,1,1
212,1,1,3,2,40,40,1,6,0,10,10,1,2,1,1
213,0,1,2,3,0,0,6,6,0,0,0,1,1,1,0
214,1,0,2,3,2440,110,0,0,6,2420,90,1,2,1,1
215,0,0,2,4,140,140,1,6,0,40,140,0,0,0,1
216,0,1,3,4,3670,370,0,0,0,3210,370,1,6,1,0
217,0,0,3,2,10250,380,0,0,6,10230,380,0,0,0,1
218,0,0,2,3,9080,520,0,0,2,8900,370,0,0,0,1
219,0,0,2,3,3320,580,0,2,0,2800,310,0,0,0,1
220,0,0,2,2,1610,930,1,0,3,1610,0,1,6,1,0
221,0,0,2,4,4010,690,0,0,0,3980,200,0,0,0,1
222,1,1,3,2,100,80,0,6,0,100,80,0,0,0,1
223,1,1,2,3,590,90,0,0,6,500,50,0,0,0,1
224,1,0,1,3,1520,70,0,0,3,1520,70,1,2,1,0
225,0,0,1,2,580,100,1,2,3,580,0,1,3,1,1
226,0,0,1,4,1090,60,0,1,0,1070,60,0,0,0,1
227,1,0,1,3,620,310,0,0,4,620,0,2,5,1,0
228,1,1,2,3,3140,1390,2,3,3,3140,0,0,0,0,1
229,1,0,2,3,4580,370,0,0,0,3960,150,2,6,1,0
230,0,1,2,3,1780,50,0,0,1,1780,50,0,0,0,1
231,1,0,2,4,610,610,2,5,0,240,120,0,0,0,1
232,0,0,2,3,3890,140,0,1,1,3890,140,0,0,0,1
233,0,0,2,4,230,230,3,6,0,40,0,0,0,0,1
234,0,1,3,2,7150,310,0,0,6,7150,310,0,0,0,0
235,0,0,2,4,660,70,1,4,0,660,0,1,5,1,1
236,1,0,2,4,1550,90,0,0,4,1440,50,0,0,0,1
237,0,0,2,3,900,50,0,0,0,810,50,0,0,0,1
238,0,0,2,4,180,90,2,6,0,100,90,1,4,1,1
239,0,0,3,4,10,10,1,6,0,0,10,1,8,1,1
240,0,0,3,3,620,70,0,2,4,610,50,0,0,0,1
241,0,1,4,3,1610,170,2,5,0,1610,50,0,0,0,1
242,0,0,2,3,1150,70,0,0,0,1150,50,0,0,0,1
243,1,0,2,4,1560,150,0,6,0,1410,80,1,2,1,1
244,1,1,3,2,1090,60,0,0,0,1090,50,0,0,0,1
245,0,0,2,3,1570,90,0,0,3,1550,50,1,5,1,1
246,1,0,2,3,900,150,0,1,4,890,150,0,0,0,1
247,0,0,2,3,3290,160,0,0,0,3100,160,0,0,0,0
248,0,0,2,4,3040,3040,1,2,0,2140,220,0,0,0,1
249,0,0,2,3,600,150,2,6,0,600,100,0,0,0,1
250,1,1,2,3,910,50,0,0,0,850,50,0,0,0,1
251,0,1,3,3,650,650,2,6,0,40,40,0,0,0,1
252,0,1,2,3,1610,1610,2,5,0,240,70,0,0,0,1
253,0,1,3,2,1900,0,0,5,0,1900,0,0,0,0,1
254,1,1,3,4,6520,310,0,0,3,6420,310,1,2,1,0
255,0,0,2,4,3290,1980,1,4,0,2390,1220,0,0,0,1
256,1,0,2,3,1500,190,0,0,1,1500,50,0,0,0,1
257,0,1,2,4,580,580,2,6,0,140,140,1,2,1,1
258,0,0,2,4,1550,1570,2,5,0,70,1570,0,0,0,1
259,0,0,2,4,520,520,3,5,0,310,10,0,0,0,1
260,0,1,2,3,190,10,1,6,0,190,0,0,0,0,1
261,1,0,1,2,300,40,0,0,4,210,30,1,2,1,1
262,0,0,3,2,2790,130,0,0,0,2720,130,0,0,0,0
263,0,0,3,4,1090,50,0,0,6,1060,50,0,0,0,1
264,1,0,2,3,450,80,0,1,0,420,50,1,7,1,0
265,1,0,2,2,2140,60,0,2,0,2140,60,0,0,0,1
266,1,1,2,4,40,40,2,6,0,30,0,1,2,1,1
267,0,0,3,4,0,0,0,6,0,0,0,1,1,1,0
268,0,0,2,3,500,90,0,6,0,340,60,0,0,0,1
269,0,0,2,3,0,0,0,6,0,0,0,0,0,0,0
270,0,0,2,3,2110,380,0,0,3,2100,140,0,0,0,1
271,1,1,3,4,690,690,3,6,0,10,80,1,2,1,0
272,0,0,2,4,40,10,0,6,0,40,10,0,0,0,1
273,1,1,2,2,1550,70,0,0,3,1550,60,0,0,0,1
274,0,1,2,3,3150,150,0,0,0,3150,120,0,0,0,1
275,0,0,2,4,80,50,1,6,0,50,30,0,0,0,1
276,1,1,3,3,3890,1350,0,2,0,3890,310,0,0,0,1
277,0,0,2,2,5010,240,0,0,3,5010,240,0,0,0,1
278,0,0,2,4,1720,150,0,0,0,1630,130,0,0,0,1
279,0,1,2,2,5960,150,0,0,1,5960,150,0,0,0,1
280,0,1,3,4,3370,1280,1,5,0,3370,1280,0,0,0,1
281,1,0,2,4,1940,100,0,0,0,1850,100,1,2,1,1
282,0,1,3,3,5540,260,0,0,0,5520,260,0,0,0,1
283,0,0,2,3,2190,110,0,0,0,2160,110,1,2,1,0
284,0,1,3,3,360,40,0,6,0,270,40,0,0,0,1
285,1,0,2,4,30,10540,2,6,0,30,30,0,0,0,0
286,0,0,1,3,0,0,0,6,0,0,0,1,1,1,0
287,1,1,3,3,80,30,0,6,0,50,30,1,13,1,1
288,1,0,2,3,310,110,0,0,5,210,110,1,2,1,0
289,1,0,2,4,0,50,1,6,0,0,0,1,1,1,1
290,1,0,2,4,6030,270,0,0,3,5930,270,0,0,0,1
291,0,1,2,3,70,80,3,6,0,50,20,0,0,0,1
292,0,1,2,3,4520,200,0,0,0,4370,200,0,0,0,1
293,0,1,2,4,1930,110,0,3,0,1800,80,0,0,0,1
294,1,0,2,4,600,600,2,6,0,0,0,1,1,1,0
295,1,0,2,3,3030,110,0,0,2,3030,110,0,0,0,1
296,0,0,2,4,0,4950,1,6,0,0,0,0,0,0,1
297,0,1,3,2,1560,70,0,0,2,1520,70,0,0,0,1
298,0,0,2,4,850,120,0,0,1,370,90,1,2,1,0
299,0,0,2,4,230,120,2,6,0,30,20,0,0,0,1
300,0,0,2,3,170,180,3,6,0,10,100,0,0,0,1
301,0,1,2,3,730,730,2,6,0,320,730,0,0,0,1
302,0,1,2,3,160,160,1,6,0,0,160,1,1,1,1
303,1,1,3,2,440,60,0,0,0,300,40,1,16,1,0
304,0,0,2,4,640,450,2,3,0,640,420,0,0,0,1
305,0,1,2,3,160,280,2,6,0,110,30,0,0,0,1
306,0,1,2,3,4490,210,0,0,2,4380,210,0,0,0,1
307,1,0,3,4,510,90,0,0,1,330,90,1,2,1,1
308,0,1,3,2,1830,180,0,0,0,1600,0,1,6,1,0
309,1,0,2,4,1700,50,0,2,0,1700,50,0,0,0,1
310,1,0,1,3,1510,60,0,0,1,1510,60,0,0,0,0
311,0,0,2,3,1640,80,0,0,0,1460,70,0,0,0,1
312,0,1,3,2,20,20,2,6,0,0,10,1,1,1,1
313,0,1,3,2,1560,110,0,0,2,1480,110,1,7,1,1
314,1,0,2,3,0,0,0,6,0,0,0,1,1,1,1
315,1,0,2,3,1780,80,0,0,0,1780,80,1,5,1,0
316,0,0,2,4,5500,1530,0,0,0,5260,640,0,0,0,1
317,1,0,1,3,260,110,0,6,0,40,30,0,0,0,1
318,0,1,2,3,800,190,1,6,0,800,50,0,0,0,0
319,0,0,2,3,3080,310,0,0,0,2840,310,0,0,0,1
320,1,0,3,3,1380,1160,1,5,0,0,0,1,1,1,1
321,0,1,3,3,30,30,1,6,0,20,10,2,6,1,0
322,0,1,2,3,920,120,0,0,0,760,120,1,10,1,0
323,1,1,3,3,1540,2360,2,6,0,1540,1360,0,0,0,1
324,1,1,3,4,3340,250,0,0,0,3050,160,1,12,1,1
325,0,1,2,3,710,730,3,6,0,0,30,2,3,1,0
326,0,0,3,3,390,90,0,6,0,290,90,1,2,1,0
327,0,0,2,4,970,350,0,4,0,320,0,1,3,1,1
328,0,1,3,3,2390,2390,2,6,0,0,0,1,1,1,1
329,1,0,2,4,630,50,0,0,6,630,40,0,0,0,1
330,0,0,2,4,4900,230,0,0,3,4380,180,0,0,0,1
331,0,0,2,4,4890,310,0,0,0,4790,310,0,0,0,1
332,0,0,2,3,10,0,0,6,0,10,0,0,0,0,1
333,0,1,2,3,1520,130,0,0,3,1420,60,0,0,0,0
334,0,0,2,4,200,210,4,6,0,30,210,0,0,0,1
335,0,0,2,3,0,60,1,6,0,0,0,0,0,0,1
336,1,0,2,3,190,40,1,6,0,180,40,0,0,0,1
337,0,0,2,4,760,620,2,6,0,70,0,2,4,1,1
338,1,1,2,4,8600,4430,2,2,3,8390,340,0,0,0,1
339,0,0,2,4,4440,170,0,0,1,4440,170,0,0,0,1
340,0,0,2,4,190,400,4,6,0,90,0,0,0,0,1
341,0,0,2,3,130,130,1,6,0,40,130,0,0,0,1
342,0,0,2,3,1540,90,0,0,5,1440,90,0,0,0,0
343,0,0,2,3,4340,200,0,0,6,4220,200,0,0,0,1
344,0,0,2,3,630,50,0,0,0,550,40,0,0,0,0
345,1,0,2,4,1190,710,1,3,0,1190,50,0,0,0,1
346,1,1,2,4,100,3050,5,6,0,0,310,1,1,1,1
347,1,0,2,4,0,0,0,6,0,0,0,1,1,1,0
348,0,0,3,3,2380,100,0,0,2,2350,100,0,0,0,1
349,1,1,3,2,580,100,0,0,0,490,100,2,8,1,1
350,1,1,3,3,950,60,0,6,0,850,50,0,0,0,0
351,0,0,2,3,4310,190,0,0,0,4310,190,0,0,0,1
352,1,0,2,3,5930,1070,0,0,0,5930,280,0,0,0,1
353,0,0,1,1,2580,120,0,0,0,2560,90,0,0,0,1
354,1,1,2,4,1560,1560,2,6,0,1520,10,0,0,0,1
355,0,0,1,3,15550,580,0,0,6,15500,310,1,9,1,0
356,0,0,2,3,2280,80,0,0,0,2180,80,0,0,0,1
357,1,0,2,3,1400,50,0,0,5,1400,0,1,9,1,1
358,1,1,3,4,60,60,1,6,0,0,0,1,1,1,0
359,0,0,2,4,20,20,1,6,0,20,10,0,0,0,1
360,0,1,3,3,260,260,3,6,0,0,50,1,1,1,1
361,0,1,4,3,1540,90,0,0,3,1440,90,0,0,0,1
362,1,0,1,3,90,50,0,2,0,90,0,1,6,1,1
363,1,1,3,4,0,0,0,6,0,0,0,1,1,1,1
364,0,1,2,3,630,40,0,0,3,630,0,1,5,1,0
365,1,1,2,3,2550,0,0,5,0,2550,0,1,4,1,0
366,1,0,2,4,660,1530,5,6,0,0,90,0,0,0,1
367,0,0,2,4,1520,270,0,0,0,1050,50,1,6,1,1
368,1,1,3,4,5460,4910,1,1,4,5290,250,0,0,0,1
369,1,1,3,2,690,60,0,0,0,580,50,0,0,0,1
370,1,1,3,3,770,130,0,0,2,630,0,2,5,1,1
371,0,0,2,4,440,430,3,6,0,330,430,0,0,0,1
372,1,0,2,4,2200,310,0,0,0,2140,110,0,0,0,1
373,1,0,2,3,630,150,0,1,0,630,60,0,0,0,0
374,0,0,2,3,2770,180,0,0,0,2720,130,0,0,0,1
375,0,1,2,3,110,50,0,6,0,60,50,1,6,1,0
376,1,1,2,2,3070,920,0,0,0,3070,90,0,0,0,1
377,0,0,2,3,180,60,0,6,0,90,30,1,2,1,0
378,1,0,2,3,960,310,1,2,0,690,310,0,0,0,1
379,0,1,3,1,10520,460,0,0,3,10320,460,0,0,0,1
380,0,0,2,4,2440,2440,1,5,1,0,2440,1,1,1,1
381,1,1,4,2,2290,160,0,0,5,1930,110,1,6,1,0
382,1,1,3,3,4970,240,0,0,6,4680,240,0,0,0,1
383,1,1,2,4,30,3980,3,6,0,30,10,0,0,0,0
384,1,1,2,4,0,0,0,6,0,0,0,1,1,1,1
385,0,1,2,3,1140,1180,1,6,0,0,1180,1,1,1,0
386,1,1,3,3,3170,130,0,0,0,3170,130,0,0,0,1
387,0,0,2,3,650,110,0,6,0,610,90,0,0,0,1
388,1,1,3,4,1160,760,0,6,0,1160,760,0,0,0,1
389,0,0,2,4,4400,310,0,0,6,4350,310,0,0,0,1
390,1,0,2,4,1310,80,0,0,0,1250,80,0,0,0,1
391,0,0,1,3,30,30,2,6,0,0,0,0,0,0,1
392,0,1,2,3,3310,150,0,0,0,3200,120,0,0,0,1
393,0,0,2,3,3690,250,0,0,6,3670,120,1,12,1,1
394,1,0,2,4,5650,5650,1,1,0,4770,160,0,0,0,1
395,1,0,3,4,70,70,2,6,0,40,60,1,2,1,0
396,1,1,3,3,880,70,0,0,6,850,50,0,0,0,1
397,0,0,2,4,5190,350,0,0,6,4900,230,1,12,1,0
398,1,1,3,4,2510,2620,2,5,0,120,80,0,0,0,1
399,0,1,2,3,810,180,0,5,0,810,180,0,0,0,1
400,1,1,2,4,15480,470,0,0,3,15480,10,1,3,1,1
401,0,0,2,4,2030,500,0,5,0,1700,350,0,0,0,1
402,1,0,2,4,5580,310,0,0,0,5140,310,0,0,0,1
403,0,0,1,4,1010,80,0,0,0,900,0,1,11,1,0
404,0,1,2,4,10,10,1,6,0,10,0,0,0,0,1
405,0,1,2,4,140,140,3,6,0,0,0,1,1,1,1
406,0,0,2,3,420,140,0,6,0,420,0,1,3,1,0
407,0,1,3,2,6110,6110,4,5,0,450,820,0,0,0,1
408,0,1,2,2,690,150,1,5,0,690,150,0,0,0,1
409,0,0,2,4,450,530,2,6,0,220,530,0,0,0,1
410,0,0,2,4,590,60,0,0,0,450,60,1,2,1,1
411,1,1,3,3,1350,110,0,0,2,1350,110,0,0,0,1
